Player,Pos,ADP,Min,Max,Range,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083
Bo Bichette,SS,107.95,75.0,102.0,27.0,97.0,,,,81.0,,75.0,,,,,,102.0,79.0,,,,,,,,
Pete Fairbanks,P,109.07,99.0,99.0,0.0,,,,,,,,,,,,,99.0,,,,,,,,,
Tyler Glasnow,P,113.25,95.0,95.0,0.0,,,,,,,,,,,,,95.0,,,,,,,,,
Michael Busch,1B,113.58,99.0,105.0,6.0,99.0,,,,,,,,,,,,105.0,,,,,,,,,
Kenley Jansen,P,113.66,100.0,100.0,0.0,,,,,,,,,,,,,100.0,,,,,,,,,
Kevin Gausman,P,116.56,79.0,79.0,0.0,,,,,,,,,,,,,,,,79.0,,,,,,
Eugenio Suarez,3B,119.11,75.0,107.0,32.0,75.0,,,,,,,,,,,,107.0,91.0,,,,,,,,
Emilio Pagan,P,122.33,78.0,78.0,0.0,,,,,,,,,,,,,78.0,,,,,,,,,
Willy Adames,SS,124.84,106.0,106.0,0.0,,,,,,,,,,,,,106.0,,,,,,,,,
Daniel Palencia,P,125.2,72.0,93.0,21.0,,,,,,,76.0,,,,,,92.0,,,72.0,,,,,,93.0
Nick Lodolo,P,127.79,94.0,94.0,0.0,,,,,,,,,,,,,94.0,,,,,,,,,
Zack Wheeler,P,148.18,65.0,109.0,44.0,,,,,,,65.0,,,,,,109.0,,,,,,,,,
Luke Keaschall,2B,148.86,103.0,103.0,0.0,,,,,,,,,,,,,103.0,,,,,,,,,
